Symptoms,Disease Predictions
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Fatigue, Weight loss, Restlessness, Lethargy",Diabetes
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Vomiting, Dehydration, Diarrhoea",Gastroenteritis
"Vomiting, Sunken eyes, Diarrhoea",Gastroenteritis
"Vomiting, Sunken eyes, Dehydration",Gastroenteritis
"Vomiting, Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Sunken eyes, Dehydration, Diarrhoea",Gastroenteritis
"Vomiting, Dehydration, Diarrhoea",Gastroenteritis
"Vomiting, Sunken eyes, Diarrhoea",Gastroenteritis
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Cough, High fever, Breathlessness, Family history",Bronchial Asthma
"Fatigue, High fever, Breathlessness, Family history",Bronchial Asthma
"Fatigue, Cough, Breathlessness, Family history",Bronchial Asthma
"Fatigue, Cough, High fever, Family history",Bronchial Asthma
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Fatigue, Cough, High fever, Breathlessness",Bronchial Asthma
"Cough, High fever, Breathlessness, Family history",Bronchial Asthma
"Fatigue, High fever, Breathlessness, Family history",Bronchial Asthma
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Chest pain, Dizziness, Loss of balance, Lack of concentration",Hypertension
"Headache, Dizziness, Loss of balance, Lack of concentration",Hypertension
"Headache, Chest pain, Loss of balance, Lack of concentration",Hypertension
"Headache, Chest pain, Dizziness, Lack of concentration",Hypertension
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Headache, Chest pain, Dizziness, Loss of balance",Hypertension
"Chest pain, Dizziness, Loss of balance, Lack of concentration",Hypertension
"Headache, Dizziness, Loss of balance, Lack of concentration",Hypertension
"Headache, Chest pain, Loss of balance, Lack of concentration",Hypertension
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Indigestion, Headache, Blurred and distorted vision, Excessive hunger",Migraine
"Acidity, Headache, Blurred and distorted vision, Excessive hunger",Migraine
"Acidity, Indigestion, Blurred and distorted vision, Excessive hunger",Migraine
"Acidity, Indigestion, Headache, Excessive hunger",Migraine
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Acidity, Indigestion, Headache, Blurred and distorted vision",Migraine
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Weakness in limbs, Neck pain, Dizziness, Loss of balance",Cervical spondylosis
"Back pain, Neck pain, Dizziness, Loss of balance",Cervical spondylosis
"Back pain, Weakness in limbs, Dizziness, Loss of balance",Cervical spondylosis
"Back pain, Weakness in limbs, Neck pain, Loss of balance",Cervical spondylosis
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Back pain, Weakness in limbs, Neck pain, Dizziness",Cervical spondylosis
"Weakness in limbs, Neck pain, Dizziness, Loss of balance",Cervical spondylosis
"Back pain, Neck pain, Dizziness, Loss of balance",Cervical spondylosis
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Headache, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Headache, Weakness of one body side",Paralysis (brain hemorrhage)
"Vomiting, Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Headache, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Weakness of one body side, Altered sensorium",Paralysis (brain hemorrhage)
"Vomiting, Headache, Altered sensorium",Paralysis (brain hemorrhage)
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Vomiting, Fatigue, Weight loss, High fever",Jaundice
"Itching, Fatigue, Weight loss, High fever",Jaundice
"Itching, Vomiting, Weight loss, High fever",Jaundice
"Itching, Vomiting, Fatigue, High fever",Jaundice
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Itching, Vomiting, Fatigue, Weight loss",Jaundice
"Chills, Vomiting, High fever, Sweating",Malaria
"Chills, Vomiting, High fever, Sweating",Malaria
"Chills, Vomiting, High fever, Sweating",Malaria
"Vomiting, High fever, Sweating, Headache",Malaria
"Chills, High fever, Sweating, Headache",Malaria
"Chills, Vomiting, Sweating, Headache",Malaria
"Chills, Vomiting, High fever, Headache",Malaria
"Chills, Vomiting, High fever, Sweating",Malaria
"Chills, Vomiting, High fever, Sweating",Malaria
"Chills, Vomiting, High fever, Sweating",Malaria
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Skin rash, Fatigue, Lethargy, High fever",Chicken pox
"Itching, Fatigue, Lethargy, High fever",Chicken pox
"Itching, Skin rash, Lethargy, High fever",Chicken pox
"Itching, Skin rash, Fatigue, High fever",Chicken pox
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Itching, Skin rash, Fatigue, Lethargy",Chicken pox
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Chills, Joint pain, Vomiting, Fatigue",Dengue
"Skin rash, Joint pain, Vomiting, Fatigue",Dengue
"Skin rash, Chills, Vomiting, Fatigue",Dengue
"Skin rash, Chills, Joint pain, Fatigue",Dengue
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Skin rash, Chills, Joint pain, Vomiting",Dengue
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Vomiting, Fatigue, High fever",Typhoid
"Chills, Fatigue, High fever, Headache",Typhoid
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Vomiting, Yellowish skin, Dark urine, Nausea",hepatitis A
"Joint pain, Yellowish skin, Dark urine, Nausea",hepatitis A
"Joint pain, Vomiting, Dark urine, Nausea",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Nausea",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Joint pain, Vomiting, Yellowish skin, Dark urine",hepatitis A
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Fatigue, Lethargy, Yellowish skin, Dark urine",Hepatitis B
"Itching, Lethargy, Yellowish skin, Dark urine",Hepatitis B
"Itching, Fatigue, Yellowish skin, Dark urine",Hepatitis B
"Itching, Fatigue, Lethargy, Dark urine",Hepatitis B
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Itching, Fatigue, Lethargy, Yellowish skin",Hepatitis B
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
"Yellowish skin, Nausea, Loss of appetite, Yellowing of eyes",Hepatitis C
"Fatigue, Nausea, Loss of appetite, Yellowing of eyes",Hepatitis C
"Fatigue, Yellowish skin, Loss of appetite, Yellowing of eyes",Hepatitis C
"Fatigue, Yellowish skin, Nausea, Yellowing of eyes",Hepatitis C
"Fatigue, Yellowish skin, Nausea, Loss of appetite",Hepatitis C
